work-id,format,doc,celex
e1342c05-0465-46f9-a897-02dddd398f64,xhtml,L_2009242EN.01003501.doc.html,32009R0734R(01)
0adcfbe4-00b0-11ea-8c1f-01aa75ed71a1,xhtml,L_2019270EN.01008101.doc.html,32019D1764
fc84c975-f2e4-11ee-8e14-01aa75ed71a1,xhtml,C_202402213EN.html,32024D02213
e8f3b31c-d9c6-46fb-9401-854592191e6c,xhtml,L_2004173EN.01000901.doc.html,32004R0729R(01)
dfbe32bf-ea49-11ee-bf53-01aa75ed71a1,xhtml,L_202400887EN.html,32024R0887
8fdd3c7e-01d0-4b3c-a087-968a22046808,xhtml,C_2007296EN.01000601.doc.html,32007M4824
e4fe3509-84ec-45b2-a319-49736ec14b79,html,32011M6420en.html,32011M6420
e75f3e95-de0a-4338-af5a-c884aeb7def9,html,31996R1461en.html,31996R1461
f1e15d80-70b0-43c5-96ba-f1f968658c9e,html,32004D0223en.html,32004D0223
80584a45-f2a5-11ef-981b-01aa75ed71a1,xhtml,L_202500391EN.html,32025D0391
75718038-0c57-45f2-9977-b4e1b34b34a8,xhtml,L_2005305EN.01003601.doc.html,32005D0815
5ab0fc83-4de2-11ee-9220-01aa75ed71a1,xhtml,L_2023221EN.01004601.doc.html,32023R1712
f84e7b6d-1dac-4a25-a866-ffe82f4468a2,xhtml,L_2009198EN.01008201.doc.html,32009D0580
e6de7be5-76b5-4f3e-8c45-13a930bd91b4,html,32004D0313en.html,32004D0313
cc58cc3e-0851-11f0-b1a3-01aa75ed71a1,xhtml,L_202590263EN.html,32025D0394R(03)
c608867d-5d31-4e8c-814f-450bfee6050c,html,32002M2829en.html,32002M2829
d17a25c4-18e6-11eb-b57e-01aa75ed71a1,xhtml,L_2020358EN.01003001.doc.html,32020R1566
c75795c3-aaed-41af-aec8-3431038988e3,html,32011M6218en.html,32011M6218
bc622740-9bd1-11e9-9d01-01aa75ed71a1,xhtml,L_2019176EN.01000501.doc.html,32019D1114
23d8e5e4-7f15-4198-8fb5-b23991e735d2,html,32011M6347en.html,32011M6347
5d0a6a78-cdcd-4555-967f-ca07c2fdcc8a,html,32000M2172en.html,32000M2172
eb32e731-6a59-4d7f-b186-f5852c53df34,html,31997D0680en.html,31997D0680
732cd105-4330-11eb-b27b-01aa75ed71a1,xhtml,L_2020431EN.01004801.doc.html,32020R2162
7dd0b0a1-4e0b-11ef-acbc-01aa75ed71a1,xhtml,L_202402044EN.html,32024R2044
9a7f7d64-d173-11e7-a5b9-01aa75ed71a1,xhtml,L_2017310EN.01004701.doc.html,32017D2192
c79a9719-da76-11e3-8cd4-01aa75ed71a1,xhtml,L_2014138EN.01004501.doc.html,32014R0481
56f2e7ad-9fd8-11e5-8781-01aa75ed71a1,xhtml,L_2015326EN.01005601.doc.html,32015D2309
b620ec50-afcf-4e5c-8eed-ff2a0935c64e,xhtml,L_1988358EN.01001601.doc.html,31988D0647
b620ec50-afcf-4e5c-8eed-ff2a0935c64e,html,31988D0647en.html,31988D0647
d2021ff6-97c7-4451-8ac2-90121b4ce9c5,xhtml,L_2008328EN.01004901.doc.html,32008D0912
f735017c-7250-4378-8287-24f779e63dda,html,31989D0358en.html,31989D0358
7eb38c87-9a3e-4a90-9270-c22bc3eae22c,html,31991D0532en.html,31991D0532
73239d3d-da07-4cdc-8120-36c970fb7d0e,html,31998J0002en.html,31998J0002
9f8fb2c4-f5ff-49a3-8dcb-622a363f0238,html,31998M1257en.html,31998M1257
a90d139d-dc98-47ba-8cd6-d094bd7b2aca,xhtml,C_2008031EN.01000201.doc.html,32007M4701
849ec0e8-944a-11ec-b4e4-01aa75ed71a1,xhtml,L_2022042EN.01000401.doc.html,32022R0256
ad665fd5-983c-11ec-b4e4-01aa75ed71a1,xhtml,L_2022055EN.01000101.doc.html,32022R0312
39a17404-2d0c-4e13-a4ab-26b293c84037,xhtml,L_2006307EN.01015901.doc.html,32006D0742
8573fadc-caa2-4d4e-adb0-3ef34463fe06,html,31983Y1110_03_en.html,31983Y1110(03)
054365f0-39cc-11f0-8a44-01aa75ed71a1,xhtml,L_202500973EN.html,32025R0973
e192cac2-4ffd-11e2-9294-01aa75ed71a1,xhtml,L_2012352EN.01001501.doc.html,32012R1245
37071b22-074c-4900-b9c7-c2b8ba670942,html,31996D0720en.html,31996D0720
962e8ba3-9a76-11e6-9bca-01aa75ed71a1,xhtml,L_2016290EN.01000101.doc.html,32016R1872
96d49a9c-1316-42da-8c99-ce64d3706754,xhtml,L_2004240EN.01000601.doc.html,32004D0541
b6bdb0ad-1e6f-11eb-b57e-01aa75ed71a1,xhtml,CI2020372EN.01000101.doc.html,32020D1104(01)
beb21fea-5636-11ec-91ac-01aa75ed71a1,xhtml,L_2021433EN.01001101.doc.html,32021R2143
168b8a69-4c9e-413a-884c-1b196d59ab06,html,31985R0462en.html,31985R0462
be85dd18-9269-11ef-a130-01aa75ed71a1,xhtml,L_202402724EN.html,32024R2724
11dec92b-1026-11f0-b1a3-01aa75ed71a1,xhtml,L_202500651EN.html,32025R0651
5ac76a2a-d9db-41f0-b62d-3eceb812f4df,html,31994D0249en.html,31994D0249
743c6f2f-51ec-11e9-a8ed-01aa75ed71a1,xhtml,L_2019091EN.01007701.doc.html,32018L0957R(01)
a36c5c1a-572b-11eb-b59f-01aa75ed71a1,xhtml,LI2021012EN.01000301.doc.html,32021D0030
599d3833-a0a2-11e5-b4a2-01aa75ed71a1,xhtml,L_2015328EN.01006201.doc.html,32015R2320
994707a3-98be-43ba-b714-0e3c915db402,xhtml,L_2010317EN.01003901.doc.html,32010D0737
3d003033-cbca-400b-84f8-362e224a3c33,html,31999M1687en.html,31999M1687
