work-id,celex
0113ca76-817c-4148-a789-d8d22c3fb0eb,32009R0492
011482b3-c8a1-11e6-a6db-01aa75ed71a1,32016D2371
0114aa7c-139f-11e9-81b4-01aa75ed71a1,32016R0044R(01)
01152ab3-3543-11ef-b441-01aa75ed71a1,32024D1837
01154802-2263-11ea-af81-01aa75ed71a1,32019R2171
01155ab6-22bc-11e4-8c3c-01aa75ed71a1,32010L0084R(04)
0115acba-e1eb-11e5-8a50-01aa75ed71a1,32016R0304
011620fd-68d9-452b-9b3c-e5a197735b0e,31999D0332
011adcf5-1df8-11e4-8c3c-01aa75ed71a1,32014R0855
011aeb0f-9384-11ec-b4e4-01aa75ed71a1,32022R0244
011b7184-072b-11e2-8e28-01aa75ed71a1,32012Y0922(03)
011d7ad7-bed2-4381-89a4-16f6be6f9869,31998D0598
011dd1f8-8ceb-4fd9-a5c1-03e73843a497,32017M8563
011e1796-2a48-4c70-9fb3-81cc989b1bcf,31993Y0710(01)
011f1f2a-8e1a-11e7-b92d-01aa75ed71a1,32017R1510
011f83f6-819b-11ed-9887-01aa75ed71a1,32022R1994
011f975f-c1a2-4ad3-aac3-516790fbadb0,32001R0082
012033cd-318c-11e8-b5fe-01aa75ed71a1,32017R0489R(01)
012152a0-cae0-11ee-95d9-01aa75ed71a1,32024D0577
0123847c-9647-11e9-9369-01aa75ed71a1,32019D1029
0123f608-7c4c-11e4-97c9-01aa75ed71a1,32014R1292
0128a890-dc9e-4f3f-9a10-321bc2c4c171,32003B0415
0128ef60-2b7a-45c4-93c2-f635719b6d5b,31999J0031
012d10e6-af22-4a65-bf1b-8e040a41beed,31997D0602
012eed56-8819-11e4-b8a5-01aa75ed71a1,32014L0111
012fcc04-61d5-48ee-8ad8-b019e3982c2e,32014M7267
0131c291-7c2c-4cd0-b98c-efb79950969f,32005R1551R(01)
01320f03-3f0d-11e4-88a1-01aa75ed71a1,32014R0139R(01)
013214a4-06c2-11e6-b713-01aa75ed71a1,32016R0604
013298b3-f161-4082-9869-04514778d3f2,32011D0727
0134cb8b-adf8-11e5-b528-01aa75ed71a1,32002R0178R(05)
0135b7cc-4392-11e2-9b3b-01aa75ed71a1,32012R1181
013628a0-25c1-43a7-93ab-ebf700f4c200,32005D0789
0138022b-4b2a-4131-ada6-c7cb71a1138c,32008D0767
013879dc-9435-11ee-b164-01aa75ed71a1,32022M10408
013a96c8-8fea-4a81-b319-17d9e1e23ce4,32007M4890
013b9905-1f6a-11ec-bd8e-01aa75ed71a1,32021M10423
013c0e6f-0d95-11e6-ba9a-01aa75ed71a1,32016R0667
013d7785-75fe-4bfb-b2a8-7b6743863e10,31997R1103
013de7f4-5ce2-460e-9151-e25bb94a0ffe,31977D0624
013e0b35-2949-11f0-8a44-01aa75ed71a1,32024D05865R(01)
