work-id,celex-expr-id,celex-man-id,celex-cs-id,suffix,mtd
849ec0e8-944a-11ec-b4e4-01aa75ed71a1,ENG,xhtml,L_2022042EN.01000401.doc.html,html,tree_non_inferred.rdf
ad665fd5-983c-11ec-b4e4-01aa75ed71a1,ENG,xhtml,L_2022055EN.01000101.doc.html,html,tree_non_inferred.rdf
39a17404-2d0c-4e13-a4ab-26b293c84037,ENG,xhtml,L_2006307EN.01015901.doc.html,html,tree_non_inferred.rdf
8573fadc-caa2-4d4e-adb0-3ef34463fe06,ENG,html,31983Y1110_03_en.html,html,tree_non_inferred.rdf
054365f0-39cc-11f0-8a44-01aa75ed71a1,ENG,xhtml,L_202500973EN.html,html,tree_non_inferred.rdf
e192cac2-4ffd-11e2-9294-01aa75ed71a1,ENG,xhtml,L_2012352EN.01001501.doc.html,html,tree_non_inferred.rdf
37071b22-074c-4900-b9c7-c2b8ba670942,ENG,html,31996D0720en.html,html,tree_non_inferred.rdf
962e8ba3-9a76-11e6-9bca-01aa75ed71a1,ENG,xhtml,L_2016290EN.01000101.doc.html,html,tree_non_inferred.rdf
96d49a9c-1316-42da-8c99-ce64d3706754,ENG,xhtml,L_2004240EN.01000601.doc.html,html,tree_non_inferred.rdf
b6bdb0ad-1e6f-11eb-b57e-01aa75ed71a1,ENG,xhtml,CI2020372EN.01000101.doc.html,html,tree_non_inferred.rdf
beb21fea-5636-11ec-91ac-01aa75ed71a1,ENG,xhtml,L_2021433EN.01001101.doc.html,html,tree_non_inferred.rdf
168b8a69-4c9e-413a-884c-1b196d59ab06,ENG,html,31985R0462en.html,html,tree_non_inferred.rdf
be85dd18-9269-11ef-a130-01aa75ed71a1,ENG,xhtml,L_202402724EN.html,html,tree_non_inferred.rdf
11dec92b-1026-11f0-b1a3-01aa75ed71a1,ENG,xhtml,L_202500651EN.html,html,tree_non_inferred.rdf
5ac76a2a-d9db-41f0-b62d-3eceb812f4df,ENG,html,31994D0249en.html,html,tree_non_inferred.rdf
743c6f2f-51ec-11e9-a8ed-01aa75ed71a1,ENG,xhtml,L_2019091EN.01007701.doc.html,html,tree_non_inferred.rdf
a36c5c1a-572b-11eb-b59f-01aa75ed71a1,ENG,xhtml,LI2021012EN.01000301.doc.html,html,tree_non_inferred.rdf
599d3833-a0a2-11e5-b4a2-01aa75ed71a1,ENG,xhtml,L_2015328EN.01006201.doc.html,html,tree_non_inferred.rdf
994707a3-98be-43ba-b714-0e3c915db402,ENG,xhtml,L_2010317EN.01003901.doc.html,html,tree_non_inferred.rdf
3d003033-cbca-400b-84f8-362e224a3c33,ENG,html,31999M1687en.html,html,tree_non_inferred.rdf
6a0a4cfc-f512-4375-b1c0-437e3d620c94,ENG,xhtml,L_2009348EN.01000901.doc.html,html,tree_non_inferred.rdf
c8d0e52c-9cfe-4d6a-94f7-71eed9a62318,ENG,html,31994M0486en.html,html,tree_non_inferred.rdf
7929ce0c-4cd4-11e7-a5ca-01aa75ed71a1,ENG,xhtml,L_2017146EN.01001301.doc.html,html,tree_non_inferred.rdf
38847bdd-c05f-4db8-bc59-c214fa5b0356,ENG,xhtml,L_2004291EN.01001401.doc.html,html,tree_non_inferred.rdf
0aaa4dcc-3156-4b82-8a9f-9068d7ec11af,ENG,html,31995D0276en.html,html,tree_non_inferred.rdf
a559e09c-8dc6-11e5-b8b7-01aa75ed71a1,ENG,xhtml,L_2015301EN.01001001.doc.html,html,tree_non_inferred.rdf
5a2f4e35-2f7a-434d-b0c6-0b5a3ddf0c6a,ENG,xhtml,L_2010167EN.01000101.doc.html,html,tree_non_inferred.rdf
cc88863b-846c-4a4c-a28e-2ad67b629b86,ENG,html,32000R2855R_01_en.html,html,tree_non_inferred.rdf
562ade5a-b43e-11e5-8d3c-01aa75ed71a1,ENG,xhtml,L_2016003EN.01004801.doc.html,html,tree_non_inferred.rdf
c40534e9-6ca0-11e4-9680-01aa75ed71a1,ENG,xhtml,L_2014330EN.01004001.doc.html,html,tree_non_inferred.rdf
735d7b33-b6d8-11ec-b6f4-01aa75ed71a1,ENG,xhtml,L_2022109EN.01006901.doc.html,html,tree_non_inferred.rdf
f1e11ae0-0851-11f0-b1a3-01aa75ed71a1,ENG,xhtml,L_202500538EN.html,html,tree_non_inferred.rdf
10c25ab9-1662-11ea-8c1f-01aa75ed71a1,ENG,xhtml,L_2019313EN.01001401.doc.html,html,tree_non_inferred.rdf
64dbde6b-cfd0-11eb-ac72-01aa75ed71a1,ENG,xhtml,L_2021218EN.01005601.doc.html,html,tree_non_inferred.rdf
26aff027-63b8-40bd-8681-555b8d0d9a3a,ENG,xhtml,L_2011253EN.01000101.doc.html,html,tree_non_inferred.rdf
7499fdb3-48b6-4f06-90e0-4604f53b3d71,ENG,html,32003R2168en.html,html,tree_non_inferred.rdf
39fa379d-eeda-4db3-9740-6943218c00e7,ENG,xhtml,L_2007213EN.01003201.doc.html,html,tree_non_inferred.rdf
21ad7a22-50ce-4095-96de-95ca336179e2,ENG,xhtml,C_2007192EN.01000301.doc.html,html,tree_non_inferred.rdf
a388ee57-3b3a-11e5-98a0-01aa75ed71a1,ENG,xhtml,L_2015208EN.01000301.doc.html,html,tree_non_inferred.rdf
099389b5-a7ce-443e-aa87-b4c99e56222a,ENG,html,31999M1541en.html,html,tree_non_inferred.rdf
